threshold,selected_events,mass_window_events,peak_position,peak_height,fwhm,fwhm_left,fwhm_right,signal_window_events,signal_window_fraction
0.1,13117706,7946119,90.90499877929688,11363,4.505338090476926,88.57915481301241,93.08449290348933,6761974,0.8509781945123147
0.15,10013295,7790458,90.90499877929688,11352,4.486137793316104,88.59833272298177,93.08447051629787,6744152,0.8656939040041035
0.2,9317894,7674466,90.90499877929688,11343,4.469379418128739,88.61502770317925,93.08440712130799,6730440,0.8769913111869934
0.25,8865094,7579860,90.90499877929688,11332,4.4691419308311,88.61513699983296,93.08427893066406,6718799,0.8864014638792801
0.3,8565641,7500349,90.90499877929688,11322,4.468990889362345,88.61522371383734,93.08421460319968,6708166,0.8943805148267101
0.35,8322830,7426904,90.90499877929688,11314,4.468612462526366,88.61547733683443,93.0840897993608,6697993,0.9018553356822708
0.4,8111528,7354754,90.90499877929688,11302,4.468676609623159,88.61551585095994,93.0841924605831,6687658,0.909297306204939
0.45,7919796,7281153,90.90499877929688,11290,4.468425543759778,88.61555371505801,93.08397925881779,6676847,0.9170040788869565
0.5,7739658,7204592,90.90499877929688,11280,4.46842200277797,88.61551803197617,93.08394003475414,6665276,0.9251427422954693
0.55,7567555,7125037,90.90499877929688,11266,4.46821913059722,88.61568597022523,93.08390510082245,6651934,0.9335999237617995
0.6,7400076,7041485,90.90499877929688,11252,4.46800314811405,88.6158033739619,93.08380652207595,6636525,0.9424894038686442
0.65,7234270,6950669,90.90499877929688,11237,4.468031282165541,88.61574661125572,93.08377789342126,6616166,0.9518747044349256
0.7,7068643,6849542,90.90499877929688,11219,4.467724941505011,88.61586999691991,93.08359493842492,6582558,0.9610216274314399
0.75,6907156,6731034,90.90499877929688,11189,4.4673701684617555,88.61627035813707,93.08364052659883,6521732,0.9689049260485091
0.8,6742235,6583601,90.90499877929688,11146,4.466665358015774,88.61657089784921,93.08323625586499,6419791,0.97511847999294
0.85,6526285,6382326,90.90499877929688,11072,4.466375175159655,88.61681901254961,93.08319418770927,6254973,0.9800459895028866
0.9,6184819,6056154,90.90499877929688,10935,4.435281654753055,88.61805162771765,93.0533332824707,5960902,0.9842718662702434
0.95,5391324,5286989,90.79499816894531,10550,4.352132722928928,88.65772663463245,93.00985935756138,5217709,0.98689613312984
