threshold,selected_events,fit_window_events,fit_success,m0,m0_err,gamma,gamma_err,sigma,sigma_err,fwhm_voigt,amplitude,amplitude_err,slope,slope_err,intercept,intercept_err,error_message
0.1,13117706,6761974,True,90.84705946779114,0.0011975034688998523,3.934126941972932,0.01142230111569848,0.7099457676561826,0.007799664043726849,4.582557567261558,762141.8424244701,957.452721929882,-153.25836463501443,1.246638882567647,14251.07512702366,107.73208080759473,
0.15,10013295,6744152,True,90.84702318569352,0.0011966485566661637,3.9359743655004404,0.011394293130320738,0.7090805018743687,0.007795518061697779,4.582807136210544,762040.2649170622,954.4187474417571,-150.73049983649906,1.2404489453906322,13940.915444569891,107.1336665174996,
0.2,9317894,6730440,True,90.84688036922097,0.0011961094916406335,3.93833024036108,0.011372487009407573,0.7077404139094355,0.007798736715897549,4.5827529530687645,761935.8616849384,952.0771927047236,-148.72774469907154,1.2358458177685128,13699.272065717698,106.689479147296,
0.25,8865094,6718799,True,90.8468655978714,0.001195716870345181,3.939184710862459,0.011356735420763089,0.7072558278409404,0.007796366444887562,4.582736555368811,761691.2119882366,950.148110768595,-147.05232587868917,1.2321970928623003,13501.86288141383,106.33131290152714,
0.3,8565641,6708166,True,90.84690697024261,0.001195437032791848,3.940193621150468,0.011343805463042436,0.7067938185646132,0.007795450127421367,4.58289217431744,761455.904240808,948.4832660887799,-145.76383017807964,1.2288561829705824,13344.179570684502,106.01289766793016,
0.35,8322830,6697993,True,90.84692343962323,0.0011952376024389,3.9419134862650074,0.01133156205841625,0.7059762730879997,0.007798630456291645,4.583111235335565,761267.1377445776,946.9303855930212,-144.61031718628823,1.225675632733514,13199.691041024296,105.70897932504107,
0.4,8111528,6687658,True,90.84695476925002,0.0011951119852733213,3.9436890377251252,0.01132073826778414,0.7052375937877882,0.007802116341601251,4.583505442377252,761045.4498187242,945.4322587814178,-143.48301409753032,1.2224813187742352,13058.304939364229,105.40821617626224,
0.45,7919796,6676847,True,90.84694005928232,0.0011949549709890349,3.946673935361374,0.011306819256172312,0.703686314142976,0.007812019653527717,4.583683026389758,760913.906027258,943.78357840339,-142.09901136021483,1.2190972544402487,12888.8250803086,105.08228319956437,
0.5,7739658,6665276,True,90.84692598665087,0.0011948216390966807,3.949811179087608,0.01129286439672288,0.7021224954573332,0.007822293894494639,4.583980388803372,760756.8824703197,942.078736840192,-140.72257964878725,1.2154922087073428,12717.533106029445,104.73801682167498,
0.55,7567555,6651934,True,90.84681946021564,0.0011946732413918046,3.956532239287833,0.011272273194246438,0.6984892316889614,0.00785058550720977,4.584192198272591,760869.107890143,940.0851638447596,-138.98657513244768,1.2110925258954415,12497.335931357442,104.31590530272959,
0.6,7400076,6636525,True,90.84694097686719,0.0011944546375193955,3.967643363224662,0.011243818078975067,0.6926304885243654,0.007899319867550087,4.58483628873674,761413.3003063194,937.7703433123816,-137.24074403296083,1.205392700604943,12252.083303824314,103.77457719256765,
0.65,7234270,6616166,True,90.84665809109546,0.0011942272820468522,3.9973546805281717,0.011186050355469771,0.6767859481058441,0.008044010798345476,4.5866646595315315,763736.0411237036,934.6306510073442,-133.68536534408827,1.1965124733105101,11762.239928325636,102.87324638582794,
0.7,7068643,6582558,True,90.84228607800115,0.0011942669708984131,4.156305609351678,0.010930063747229138,0.5814214587096389,0.00912253207685754,4.591832390123805,778708.1004343213,927.5223456209617,-116.17934357676835,1.174284003722185,9539.631121947337,100.1228874788506,
0.75,6907156,6521732,True,90.82989137001863,0.0011939624952655389,4.542338456216275,0.010328193145816029,0.24358186932267317,0.020398623085401683,4.618786152429305,818396.7225854491,911.5115833059377,-71.73949108706549,1.1190237079952563,3945.6100761355437,93.10857929662264,
0.8,6742235,6419791,True,90.81866379653349,0.001189421238727812,4.752876534425325,0.010124244378414447,0.010000000094731525,0.5014981560716593,4.753016375402112,851051.2268031794,899.2135660659682,-28.544595564633333,1.012021177353628,-1600.0698905839638,81.32647966602754,
0.85,6526285,6254973,True,90.82808386130313,0.0011698857773271931,4.824564265724959,0.009622137874424846,0.010000000000003208,0.49199739066072795,4.8247024631260516,868986.5916008835,848.1117785492446,-29.248523200222287,0.8507824358296093,-3020.0113866005263,66.2983940143495,
0.9,6184819,5960902,True,90.84853770426803,0.001120751715709752,3.3968032930897385,0.009138667364659838,1.184174144743129,0.004550402463277902,5.02139777381627,758173.2373596805,686.457842291026,-23.019890427489578,0.6434728372260818,-2101.6915023077922,48.22319645773925,
0.95,5391324,5217709,True,90.86137109473964,0.0009891560512681307,0.5000000000000001,0.004588615551217361,1.9514246931493424,0.00173545044142546,4.868442159838358,533329.394872495,322.29556703059023,24.34251989383047,0.3946064487973169,-2490.4130941578437,30.162500311597295,
